,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
24,Lane Transit District,DT,PT,Active,Full Reporter,Eugene,OR,151,"Eugene, OR",87.0,247421.0,482.0,302200.0,2017.0,6.0,2017.0,4845140.0,307627.0,15.75,0.0,7803055.0,25.3653,0.0
25,Lane Transit District,MB,DO,Active,Full Reporter,Eugene,OR,151,"Eugene, OR",87.0,247421.0,482.0,302200.0,2017.0,6.0,2017.0,29244711.0,7453299.0,3.9237,5528894.0,37772178.0,5.0678,0.7418
26,Lane Transit District,MB,PT,Active,Full Reporter,Eugene,OR,151,"Eugene, OR",87.0,247421.0,482.0,302200.0,2017.0,6.0,2017.0,533069.0,11938.0,44.6531,19585.0,234419.0,19.6364,1.6406
27,Lane Transit District,RB,DO,Active,Full Reporter,Eugene,OR,151,"Eugene, OR",87.0,247421.0,482.0,302200.0,2017.0,6.0,2017.0,7476594.0,2716901.0,2.7519,1945538.0,6463202.0,2.3789,0.7161
28,Lane Transit District,VP,PT,Active,Full Reporter,Eugene,OR,151,"Eugene, OR",87.0,247421.0,482.0,302200.0,2017.0,6.0,2017.0,2096166.0,40103.0,52.2696,289022.0,334487.0,8.3407,7.207
30,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Active,Full Reporter,Portland,OR,24,"Portland, OR-WA",524.0,1849898.0,378.0,1536207.0,2017.0,6.0,2017.0,8163909.0,889566.0,9.1774,7769411.0,35839809.0,40.2891,8.7339
31,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Active,Full Reporter,Portland,OR,24,"Portland, OR-WA",524.0,1849898.0,378.0,1536207.0,2017.0,6.0,2017.0,1438469.0,128081.0,11.2309,1118651.0,5072747.0,39.6058,8.7339
32,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Active,Full Reporter,Portland,OR,24,"Portland, OR-WA",524.0,1849898.0,378.0,1536207.0,2017.0,6.0,2017.0,215622682.0,39741354.0,5.4257,49384596.0,138797386.0,3.4925,1.2427
33,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Active,Full Reporter,Portland,OR,24,"Portland, OR-WA",524.0,1849898.0,378.0,1536207.0,2017.0,6.0,2017.0,282061298.0,57837802.0,4.8768,65512900.0,261867139.0,4.5276,1.1327
35,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Active,Full Reporter,Portland,OR,24,"Portland, OR-WA",524.0,1849898.0,378.0,1536207.0,2017.0,6.0,2017.0,3801325.0,448510.0,8.4755,473627.0,7152572.0,15.9474,1.056
