,index,State,Automobiles,Buses,Trucks,Automobiles Per Capita,Motorcicles,Year
168,17,Iowa,1737582.0,8103.0,26444,3053135.0,128350.6,1998
169,18,Kansas,1127367.0,3804.0,17956,2121410.0,47333.43,1998
170,19,Kentucky,1715524.0,12034.0,7752,2844612.0,39900.43,1998
171,20,Louisiana,1966954.0,20926.0,21999,3430717.0,39152.44,1998
172,21,Maine,565338.0,2899.0,11103,929605.0,28026.45,1998
173,22,Maryland,2621923.0,11736.0,22504,3750275.0,42531.51,1998
174,23,Massachusetts,3782940.0,11554.0,36063,5159168.0,99583.61,1998
175,24,Michigan,5104781.0,25142.0,74986,8128150.0,153007.52,1998
176,25,Minnesota,2412412.0,14719.0,22960,4177841.0,127842.51,1998
177,26,Mississippi,1250200.0,10185.0,21850,2255744.0,31138.45,1998
178,27,Missouri,2600722.0,13166.0,16937,4377520.0,53616.48,1998
179,28,Montana,458116.0,2798.0,17036,988277.0,21478.51,1998
180,29,Nebraska,834188.0,5559.0,17570,1525998.0,18412.49,1998
181,30,Nevada,665940.0,1706.0,14281,1220277.0,24250.38,1998
182,31,New Hampshire  4/,687770.0,1735.0,10878,1038465.0,46040.58,1998
183,32,New Jersey  4/,4215195.0,19581.0,101716,5780336.0,100042.51,1998
184,33,New Mexico,821031.0,3632.0,21382,1594792.0,32122.46,1998
185,34,New York  4/,7664320.0,48636.0,99783,10422033.0,137528.42,1998
186,35,North Carolina,3530711.0,30739.0,47465,5861830.0,74650.46,1998
187,36,North Dakota,330275.0,2299.0,8624,672158.0,16138.51,1998
188,37,Ohio,6664356.0,35530.0,70515,10039488.0,228592.59,1998
189,38,Oklahoma,1548949.0,15935.0,44606,2919186.0,52986.46,1998
190,39,Oregon,1588313.0,12755.0,30012,2980064.0,63659.48,1998
191,40,Pennsylvania  4/,6131725.0,35309.0,61698,8978814.0,190009.51,1998
192,41,Rhode Island  4/,522292.0,1831.0,4933,715017.0,17610.53,1998
193,42,South Carolina,1822640.0,15399.0,24764,2893061.0,40893.47,1998
194,43,South Dakota,381752.0,2696.0,13134,768507.0,25188.51,1998
195,44,Tennessee,2695539.0,17576.0,56186,4469065.0,59397.49,1998
196,45,Texas,7455714.0,80091.0,253200,13324167.0,144068.37,1998
197,46,Utah,850487.0,1232.0,14723,1532253.0,24300.4,1998
198,47,Vermont,295664.0,1931.0,6651,496153.0,16684.49,1998
199,48,Virginia,3774372.0,17783.0,35540,5818294.0,57206.55,1998
200,49,Washington,2776482.0,9088.0,39224,4823987.0,105607.48,1998
201,50,West Virginia,776583.0,3299.0,31697,1377835.0,21871.42,1998
202,51,Wisconsin,2544109.0,13438.0,43024,4203319.0,169662.48,1998
203,52,Wyoming,219220.0,2661.0,11754,558991.0,15742.45,1998
204,2,Alabama,1918032.0,8708.0,26551,3957249.0,48715.44,1999
205,3,Alaska,238202.0,2372.0,9216,571469.0,14887.38,1999
206,4,Arizona,2037370.0,4551.0,18861,3606227.0,144380.42,1999
207,5,Arkansas,945871.0,6468.0,11351,1817825.0,21767.37,1999
208,6,California,16657441.0,47017.0,263677,26362468.0,405665.5,1999
209,7,Colorado,2053579.0,5803.0,26148,3858148.0,94951.5,1999
210,8,Connecticut  4/,1994380.0,10011.0,26592,2766171.0,53220.6,1999
211,9,Delaware,401917.0,1986.0,2736,615611.0,10671.52,1999
212,10,Dist. of Col.,197070.0,2609.0,6665,235498.0,1125.37,1999
213,11,Florida,7304601.0,44045.0,145241,11389713.0,229713.48,1999
214,12,Georgia,4011725.0,17520.0,62303,6972710.0,85957.51,1999
215,13,Hawaii,454341.0,4184.0,6856,718107.0,19024.38,1999
216,14,Idaho,494220.0,3580.0,17852,1129643.0,40635.39,1999
217,15,Illinois,6307479.0,17691.0,16170,9355260.0,216565.51,1999
218,16,Indiana,3224493.0,26902.0,40577,5495087.0,108975.54,1999
219,17,Iowa,1723848.0,8115.0,26839,3049967.0,124978.6,1999
220,18,Kansas,1187320.0,3850.0,18825,2224348.0,49367.44,1999
221,19,Kentucky,1592519.0,12525.0,8146,2661989.0,41895.4,1999
222,20,Louisiana,1964922.0,21328.0,22673,3504662.0,42411.44,1999
223,21,Maine,550537.0,2930.0,11265,915455.0,30851.44,1999
224,22,Maryland,2665572.0,11476.0,23009,3896297.0,45866.51,1999
225,23,Massachusetts,3822524.0,11710.0,37284,5333188.0,103107.62,1999
226,24,Michigan,5069808.0,25536.0,76095,8289644.0,166517.51,1999
227,25,Minnesota,2265392.0,14664.0,22912,4009717.0,126535.47,1999
228,26,Mississippi,1299441.0,10544.0,17285,2316772.0,32200.47,1999
229,27,Missouri,2601830.0,13551.0,19094,4404244.0,57286.47,1999
230,28,Montana,455430.0,2811.0,17411,997905.0,22109.51,1999
231,29,Nebraska,833415.0,5797.0,18542,1569553.0,19367.49,1999
232,30,Nevada,620131.0,1771.0,14647,1162376.0,23038.34,1999
233,31,New Hampshire  4/,678497.0,1713.0,11823,1050898.0,47656.56,1999
234,32,New Jersey  4/,4341182.0,20565.0,96200,6102758.0,105077.53,1999
235,33,New Mexico,761012.0,3524.0,22012,1576482.0,30411.43,1999
236,34,New York  4/,7892118.0,50731.0,99511,10756026.0,142324.43,1999
237,35,North Carolina,3423588.0,29987.0,45945,5690440.0,78383.44,1999
238,36,North Dakota,342786.0,2289.0,8705,704412.0,16355.53,1999
239,37,Ohio,6651554.0,36364.0,72576,10235603.0,239818.59,1999
240,38,Oklahoma,1524424.0,16169.0,45757,2931486.0,52923.45,1999
241,39,Oregon,1559972.0,12920.0,30450,3012959.0,65761.46,1999
242,40,Pennsylvania  4/,6071724.0,34930.0,62629,9008600.0,199752.5,1999
243,41,Rhode Island  4/,535034.0,1900.0,5066,747010.0,19162.54,1999
244,42,South Carolina,1872502.0,15816.0,25408,3026247.0,46605.48,1999
245,43,South Dakota,379168.0,2721.0,13267,781961.0,25735.51,1999
246,44,Tennessee,2621508.0,17380.0,55740,4426519.0,62746.47,1999
247,45,Texas,7738292.0,82589.0,262004,14068720.0,163647.38,1999
248,46,Utah,856699.0,1242.0,15150,1577180.0,24500.4,1999
249,47,Vermont,301914.0,1938.0,6982,517615.0,17663.5,1999
250,48,Virginia,3769276.0,17854.0,35883,5871157.0,57085.54,1999
251,49,Washington,2741257.0,9137.0,39879,4862150.0,106533.47,1999
252,50,West Virginia,759648.0,3211.0,31204,1379131.0,18833.41,1999
253,51,Wisconsin,2520717.0,13032.0,43991,4265772.0,192133.48,1999
254,52,Wyoming,195762.0,2710.0,12138,528194.0,15861.4,1999
255,1,Alabama,1961806.0,8776.0,26742,3960149.0,54359.44,2000
256,2,Alaska,244305.0,2510.0,9796,594399.0,16063.39,2000
257,3,Arizona,2163141.0,4594.0,19050,3794538.0,164279.42,2000
258,4,Arkansas,951243.0,6684.0,11423,1840193.0,24998.35,2000
259,5,California,17321413.0,47312.0,271278,27697923.0,434257.51,2000
260,6,Colorado,1920757.0,5786.0,26410,3626012.0,98218.44,2000
261,7,Connecticut  4/,2009190.0,10529.0,26967,2853449.0,53742.59,2000
262,8,Delaware,400306.0,2042.0,2857,630446.0,10952.5,2000
263,9,Dist. of Col.,200288.0,2629.0,6737,242081.0,1127.34,2000
264,10,Florida,7352705.0,45011.0,147985,11781010.0,249276.45,2000
265,11,Georgia,4066530.0,18017.0,64016,7155006.0,86988.49,2000
266,12,Hawaii,459515.0,4301.0,7026,737551.0,19772.37,2000
267,13,Idaho,515266.0,3687.0,17975,1177700.0,42001.39,2000
268,14,Illinois,5953984.0,18298.0,15827,8972584.0,195443.47,2000
269,15,Indiana,3244937.0,27285.0,41412,5570942.0,117331.53,2000
270,16,Iowa,1751690.0,8223.0,31935,3106223.0,126421.6,2000
271,17,Kansas,826441.0,3864.0,19043,2296135.0,49548.3,2000
272,18,Kentucky,1673926.0,12934.0,8339,2826403.0,43990.41,2000
273,19,Louisiana,1964694.0,21484.0,23160,3556982.0,47736.43,2000
274,20,Maine,618283.0,3034.0,11796,1024096.0,28791.48,2000
275,21,Maryland,2605816.0,11852.0,23240,3847538.0,49296.49,2000
276,22,Massachusetts,3673638.0,11934.0,38255,5265399.0,106715.58,2000
277,23,Michigan,5023421.0,25827.0,76855,8435721.0,182213.5,2000
278,24,Minnesota,2625595.0,14765.0,23280,4629940.0,142799.53,2000
279,25,Mississippi,1318648.0,10374.0,17184,2289411.0,31845.46,2000
280,26,Missouri,2715215.0,12985.0,17494,4579629.0,60897.48,2000
281,27,Montana,466659.0,2795.0,17567,1026226.0,26402.51,2000
282,28,Nebraska,852481.0,6032.0,19358,1618933.0,20881.49,2000
283,29,Nevada,655592.0,1837.0,14754,1219725.0,24445.32,2000
284,30,New Hampshire  4/,670394.0,1733.0,10893,1051751.0,48651.54,2000
285,31,New Jersey  4/,4450719.0,21538.0,101003,6390031.0,111430.52,2000
286,32,New Mexico,729727.0,3440.0,22383,1528510.0,28291.39,2000
287,33,New York  4/,7501343.0,54083.0,101122,10234531.0,106371.39,2000
288,34,North Carolina,3743066.0,30631.0,46989,6222503.0,82302.46,2000
289,35,North Dakota,339237.0,2312.0,8792,693860.0,17003.52,2000
290,36,Ohio,6709706.0,37583.0,74324,10467476.0,253842.59,2000
291,37,Oklahoma,1587115.0,16593.0,46733,3014491.0,57284.46,2000
292,38,Oregon,1541253.0,13305.0,31069,3021574.0,68598.44,2000
293,39,Pennsylvania  4/,6032058.0,35699.0,64071,9259967.0,214630.49,2000
294,40,Rhode Island  4/,538975.0,1957.0,5155,759570.0,19432.51,2000
295,41,South Carolina,1924398.0,16218.0,25863,3094729.0,51436.48,2000
296,42,South Dakota,380281.0,2726.0,13296,792509.0,29175.5,2000
297,43,Tennessee,2854569.0,17221.0,54929,4819799.0,70846.5,2000
298,44,Texas,7616183.0,85397.0,270461,14070096.0,181787.35,2000
