,FuelCode,StationName,Address,City,State_ABRR,Location,ZIP,Latitude,Longitude
8600,ELEC,Town of Normal - Public Works Department,1301 Warriner,Normal,IL,ILLINOIS,61761,40.4969148,-89.0035927
8601,LPG,Mike's Hardware,2800 N Main St,Vidor,TX,TEXAS,77662,30.165349,-94.01942199999999
8602,ELEC,Kennedy Space Center,C & 3rd St,Kennedy Space Center,FL,FLORIDA,32899,28.52082,-80.65276999999999
8603,ELEC,Hillcrest Center,401 Hillcrest Drive,Thousand Oaks,CA,CALIFORNIA,91360,34.184560999999995,-118.88523899999998
8604,ELEC,Florida Power & Light - Central Broward - ClipperCreek,7201 Cypress Rd,Plantation,FL,FLORIDA,33317,26.124727,-80.243826
8605,ELEC,Community Nissan of Mason City,1780 S Monroe Ave,Mason City,IA,IOWA,50401,43.13562,-93.211965
8606,ELEC,City of Blanding Visitor Center - Tesla,12 N Grayson Pkwy,Blanding,UT,UTAH,84511,37.6254364,-109.47533190000001
8607,ELEC,AREUS SSF,5000 Shoreline Ct,South San Francisco,CA,CALIFORNIA,94080,37.669887,-122.388425
8608,ELEC,"Walgreens - Lakewood, CO #9566",12880 W Alameda Pkwy,Lakewood,CO,COLORADO,80228,39.6998508,-105.142385
8609,ELEC,Howard County Government - Dorsey Building,9250 Bendix Rd.,Columbia,MD,MARYLAND,21045,39.236994,-76.827476
8610,ELEC,CITY OF SOLVANG,Alisal Rd,Solvang,CA,CALIFORNIA,93463,34.595218700000004,-120.13801570000001
8611,ELEC,PLUGNEVERYWHERE,115 Sandra Muraida Way,Austin,TX,TEXAS,78703,30.2677364,-97.7549286
8612,ELEC,UW,610 Highland Ave,Madison,WI,WISCONSIN,53705,43.0766555,-89.4300338
8613,ELEC,Snohomish County - Evergreen Fairgrounds,14405 179th Ave SE,Monroe,WA,WASHINGTON,98272,47.8655225,-121.98695179999999
8614,LPG,Southern RV,3030 NE Evangeline Thrwy,Lafayette,LA,LOUISIANA,70507,30.286796999999996,-92.021582
