,Unique ID,FacilityName,Rank_TRI_14,Rank_GHG_14,Latitude,Longitude,LocationAddress,City,Location,ZIP,County,FIPScode,IndustryType,GHG_Direct_Emissions_14_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_10_in_metric_tons
530,1.10E+11,EDGINGTON OIL CO,9490.0,7166.0,33.87461,-118.16412,2400 E ARTESIA BLVD,LONG BEACH,CALIFORNIA,90805,LOS ANGELES,6037.0,Petroleum and Natural Gas Systems,3,8,11,450,20166
531,1.10E+11,DEMENNO/KERDOON INC,9754.0,5621.0,33.90919,-118.22196000000001,2000 N ALAMEDA ST,COMPTON,CALIFORNIA,90222,LOS ANGELES,6037.0,Petroleum and Natural Gas Systems,27478,27773,29501,29861,27462
532,1.10E+11,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 23,9969.0,3354.0,33.99,-118.211,2901 FRUITLAND AVE,VERNON,CALIFORNIA,900583628,LOS ANGELES,6037.0,Minerals,65304,66189,64638,66116,58018
533,1.10E+11,CARLTON FORGE WORKS,10372.0,5174.0,33.89479,-118.16474,7743 E ADAMS ST,PARAMOUNT,CALIFORNIA,90723,LOS ANGELES,6037.0,Other,32003,34012,33545,28846,26077
534,1.10E+11,QUEMETCO INC,11776.0,2892.0,34.025026000000004,-117.98347,720 S SEVENTH AVE,CITY OF INDUSTRY,CALIFORNIA,91746,LOS ANGELES,6037.0,Metals,80894,57523,64873,74359,49012
535,1.10E+11,COMMERCE REFUSE-TO-ENERGY FACILITY,12400.0,3662.0,33.9949,-118.1539,5926 SHEILA ST,COMMERCE,CALIFORNIA,90040,LOS ANGELES,6037.0,Waste,56759,63276,52467,53855,53276
582,1.10E+11,SAINT GOBAIN CONTAINERS INCORPORATED,7806.0,3066.0,36.92375,-120.10151,24441 AVE 12,MADERA,CALIFORNIA,93637,MADERA,6039.0,Minerals,74744,78250,82150,75969,74197
583,1.10E+11,CERTAINTEED CORP,10429.0,6800.0,37.093176,-120.22500500000001,17775 AVE 23 1/2,CHOWCHILLA,CALIFORNIA,93610,MADERA,6039.0,Minerals,6431,49094,39502,42300,40230
587,1.10E+11,FOSTER FARMS LIVINGSTON COMPLEX,2874.0,4419.0,37.39015,-120.72626000000001,843 DAVIS ST,LIVINGSTON,CALIFORNIA,95334,MERCED,6047.0,Other,42651,44285,43599,40016,37904
588,1.10E+11,HILMAR CHEESE CO,4943.0,3304.0,37.421613,-120.850431,9001 N LANDER AVE,HILMAR,CALIFORNIA,95324,MERCED,6047.0,Other,66565,61970,67426,70031,68973
594,1.10E+11,LHOIST NORTH AMERICA NATIVIDAD PLANT,13415.0,3017.0,36.747,-121.60533999999998,11771 OLD STAGE RD,SALINAS,CALIFORNIA,93908,MONTEREY,6053.0,Minerals,76419,60003,54449,55342,50132
641,1.10E+11,MITSUBISHI CEMENT PLANT CUSHENBURY L.F.,789.0,594.0,34.3545,-116.8532,5808 STATE HIGHWAY 18,LUCERNE VALLEY,CALIFORNIA,92356,SAN BERNARDINO,6071.0,Minerals,1051510,1135120,1069534,938449,856764
642,1.10E+11,RIVERSIDE CEMENT ORO GRANDE PLANT,1288.0,536.0,34.6045,-117.3382,19409 NATIONAL TRAILS HIGHWAY,ORO GRANDE,CALIFORNIA,92368,SAN BERNARDINO,6071.0,Minerals,1222117,1075564,1032835,785331,705545
644,1.10E+11,ACE COGENERATION FACILITY,2967.0,1167.0,35.7655,-117.3821,12801 MARIPOSA ST,TRONA,CALIFORNIA,93652,SAN BERNARDINO,6071.0,Power Plants,368560,327423,581743,721407,783184
646,1.10E+11,CALIFORNIA STEEL INDUSTRIES INC,6067.0,1586.0,34.07737,-117.49968799999999,14000 SAN BERNARDINO AVE,FONTANA,CALIFORNIA,923355258,SAN BERNARDINO,6071.0,Metals,205605,195684,190882,190051,167652
671,1.10E+11,SOLAR TURBINES INC KEARNY MESA,13107.0,5103.0,32.81872,-117.1258,4200 RUFFIN RD MZ T-2,SAN DIEGO,CALIFORNIA,92123,SAN DIEGO,6073.0,Other,32680,36040,43025,40760,30969
698,1.10E+11,PACIFIC ETHANOL STOCKTON LLC,4664.0,3263.0,37.942848,-121.33534099999999,3028 NAVY DR,STOCKTON,CALIFORNIA,95206,SAN JOAQUIN,6077.0,Other,67739,58631,56990,62668,3930
699,1.10E+11,GENERAL MILLS,6995.0,6096.0,38.145682,-121.340129,2000 W TURNER RD,LODI,CALIFORNIA,952422239,SAN JOAQUIN,6077.0,Other,21705,20957,17286,22279,27618
700,1.10E+11,OWENS-BROCKWAY GLASS CONTAINER INC PLANT #22,10948.0,2699.0,37.715146999999995,-121.49157,14700 SCHULTE RD.,TRACY,CALIFORNIA,95376,SAN JOAQUIN,6077.0,Minerals,88974,86619,88286,89606,73172
